date,production,solarav,solarmin,solarmax,solarstd,consumption
1-Jan-22,29355,29476,19653,36353,3685,32480
2-Jan-22,15911,12562,8504,18709,2560,30612
3-Jan-22,4326,2997,1035,6141,1414,35650
4-Jan-22,10001,7569,3691,13542,2223,27038
5-Jan-22,30180,31173,25944,36634,3081,63873
6-Jan-22,19437,15691,7220,34144,5838,68777
7-Jan-22,25266,20745,6345,39801,10465,88232
8-Jan-22,31701,31910,22904,38367,3715,98171
9-Jan-22,31214,30827,25679,36513,3208,85259
10-Jan-22,32450,33079,27527,38711,3216,88944
11-Jan-22,25737,25657,16452,35031,4566,86834
12-Jan-22,4530,3666,1768,6344,1126,84735
13-Jan-22,17643,13807,9071,21531,2996,66547
14-Jan-22,9046,8451,6465,10978,1103,77698
15-Jan-22,18400,11280,5613,22755,3669,77713
16-Jan-22,31665,32352,16893,40330,5667,69559
17-Jan-22,32540,31383,20753,38679,4908,30937
18-Jan-22,26316,20383,5704,39177,8405,38538
19-Jan-22,34188,34156,24076,40321,3586,49900
20-Jan-22,31391,27808,14737,50772,8483,57200
21-Jan-22,13904,12110,5495,22252,4191,82476
22-Jan-22,31549,28214,18752,40898,5422,87317
23-Jan-22,12840,9324,6185,13920,2096,79028
24-Jan-22,16140,13075,4910,25523,5362,57718
25-Jan-22,18914,15795,8869,25952,4310,31786
26-Jan-22,3630,1818,1078,2894,449,51172
27-Jan-22,24900,18968,12377,27063,3683,81117
28-Jan-22,41503,38735,32637,45123,3677,78766
29-Jan-22,22015,17627,9909,29028,4861,87809
30-Jan-22,35036,30382,5233,56141,16504,49050
31-Jan-22,42526,38496,31455,45193,3715,71690
1-Feb-22,21554,17095,9840,27251,5021,69494
2-Feb-22,31234,24077,4873,46461,10001,66139
3-Feb-22,41109,35689,27243,42613,3806,68454
4-Feb-22,44356,38340,26854,46454,4616,73588
5-Feb-22,37678,31642,17438,44295,6543,72122
6-Feb-22,31575,26007,16473,40634,6607,95518
7-Feb-22,18990,14872,9716,25419,4297,72486
8-Feb-22,49303,41818,31996,50714,4656,41506
9-Feb-22,28495,20112,11562,40293,6546,55436
